Categoria,Frase,Autore
Motivazione,"Il successo non è definitivo, il fallimento non è fatale: ciò che conta è il coraggio di andare avanti.",Winston Churchill
Vendita,"Smetti di vendere. Inizia ad aiutare.",Zig Ziglar
Immobiliare,"Non aspettare di comprare immobili. Compra immobili e aspetta.",Will Rogers
Mindset,"Se puoi sognarlo, puoi farlo.",Walt Disney
Disciplina,"La disciplina è scegliere tra ciò che vuoi ora e ciò che vuoi di più.",Abraham Lincoln
Business,"Le opportunità non accadono. Le crei tu.",Chris Grosser
Vendita,"Non conta chi conosci, ma chi vuole fare affari con te.",Antonio Giancani
Focus,"Dove va il focus, scorre l'energia.",Tony Robbins
Immobiliare,"Il miglior investimento sulla Terra è la terra.",Louis Glickman
Motivazione,"Il tuo unico limite è la visione che hai di te stesso.",Antonio Giancani
Business,"Il successo è la somma di piccoli sforzi, ripetuti giorno dopo giorno.",Robert Collier
Mindset,"Non abbassare i tuoi obiettivi. Aumenta i tuoi sforzi.",Antonio Giancani
Vendita,"La vendita è un trasferimento di emozioni.",Zig Ziglar
Disciplina,"Senza fretta, ma senza sosta.",Goethe
Immobiliare,"Possedere una casa è la chiave di volta della ricchezza.",Suze Orman
Focus,"Non essere occupato, sii produttivo.",Tim Ferriss
Business,"La qualità significa fare le cose bene quando nessuno ti sta guardando.",Henry Ford
Motivazione,"Il momento migliore per piantare un albero era 20 anni fa. Il secondo momento migliore è ora.",Proverbio Cinese
Vendita,"Ogni NO ti avvicina al prossimo SÌ.",Antonio Giancani
Mindset,"Che tu creda di farcela o di non farcela, avrai comunque ragione.",Henry Ford
Categoria,Frase,Autore
Mindset,Che tu creda di farcela o di non farcela, hai ragione.,Henry Ford
Mindset,Il successo non è definitivo, il fallimento non è fatale: ciò che conta è il coraggio di andare avanti.,Winston Churchill
Mindset,Non aspettare. Il momento non sarà mai quello giusto.,Napoleon Hill
Mindset,Tutto ciò che puoi immaginare è reale.,Pablo Picasso
Mindset,Il modo migliore per predire il futuro è crearlo.,Peter Drucker
Mindset,Sii il cambiamento che vuoi vedere nel mondo.,Mahatma Gandhi
Mindset,La logica ti porta da A a B. L'immaginazione ti porta ovunque.,Albert Einstein
Mindset,L'unico modo per fare un ottimo lavoro è amare quello che fai.,Steve Jobs
Mindset,Non giudicarmi dai miei successi ma da tutte le volte che sono caduto e mi sono rialzato.,Nelson Mandela
Mindset,La vita è per il 10% cosa ti accade e per il 90% come reagisci.,Charles R. Swindoll
Mindset,Se non scommetti su te stesso, nessuno lo farà per te.,Antonio Giancani
Mindset,Le difficoltà spesso preparano le persone comuni a un destino straordinario.,C.S. Lewis
Mindset,Il dubbio uccide più sogni di quanto possa mai fare il fallimento.,Suzy Kassem
Mindset,Non permettere a nessuno di dirti che non puoi fare qualcosa.,La ricerca della felicità
Mindset,Un vincitore è un sognatore che non si è mai arreso.,Nelson Mandela
Vendita,Non vendiamo case, vendiamo il palcoscenico dove le persone vivranno la loro vita.,Antonio Giancani
Vendita,Ogni NO ti avvicina al SÌ che cambierà la tua carriera.,Anonimo
Vendita,La vendita non è un atto, è un’abitudine.,Aristotele
Vendita,Non chiudere una vendita, apri una relazione.,Patricia Fripp
Vendita,Le persone non comprano ciò che fai, comprano il perché lo fai.,Simon Sinek
Vendita,Se non ti prendi cura del tuo cliente, lo farà il tuo concorrente.,Bob Hooey
Vendita,L’approccio mentale è più importante dell’attitudine alla vendita.,Zig Ziglar
Vendita,Per avere successo nelle vendite, devi credere nel tuo prodotto più di chiunque altro.,Antonio Giancani
Vendita,Ascolta il doppio di quanto parli. Per questo hai due orecchie e una bocca.,Epitteto
Vendita,Il prezzo è quello che paghi. Il valore è quello che ottieni.,Warren Buffett
Vendita,Non abbassare il prezzo, aumenta il valore.,Grant Cardone
Vendita,Vendere è trasferire la tua convinzione a un'altra persona.,Brian Tracy
Vendita,Il miglior venditore è colui che risolve problemi, non colui che spinge prodotti.,Anonimo
Vendita,La fiducia è la valuta più preziosa nel mercato immobiliare.,Antonio Giancani
Vendita,Smetti di vendere. Inizia ad aiutare.,Zig Ziglar
Disciplina,La disciplina è il ponte tra gli obiettivi e i risultati.,Jim Rohn
Disciplina,Soffri ora e vivi il resto della tua vita come un campione.,Muhammad Ali
Disciplina,Non devi essere grande per iniziare, ma devi iniziare per essere grande.,Zig Ziglar
Disciplina,La motivazione ti fa iniziare. L'abitudine ti fa continuare.,Jim Ryun
Disciplina,Il successo è la somma di piccoli sforzi, ripetuti giorno dopo giorno.,Robert Collier
Disciplina,Lavora in silenzio e lascia che sia il tuo successo a fare rumore.,Frank Ocean
Disciplina,La fortuna è ciò che accade quando la preparazione incontra l'opportunità.,Seneca
Disciplina,Non contare i giorni, fai in modo che i giorni contino.,Muhammad Ali
Disciplina,O trovi un modo, o trovi una scusa.,Antonio Giancani
Disciplina,La differenza tra chi sei e chi vuoi essere è ciò che fai.,Anonimo
Disciplina,Se sei stanco, impara a riposare, non a mollare.,Banksy
Disciplina,L'unico posto in cui successo viene prima di sudore è il dizionario.,Vidal Sassoon
Disciplina,L'eccellenza non è un atto, ma un'abitudine.,Aristotele
Disciplina,Fai oggi quello che gli altri faranno domani.,Antonio Giancani
Disciplina,Il dolore della disciplina pesa grammi, il dolore del rimpianto pesa tonnellate.,Jim Rohn
Business,Le opportunità non accadono. Le crei tu.,Chris Grosser
Business,Se non costruisci il tuo sogno, qualcuno ti assumerà per costruire il suo.,Tony Gaskins
Business,Il segreto del business è sapere qualcosa che nessun altro sa.,Aristotele Onassis
Business,Non è la specie più forte a sopravvivere, ma quella più reattiva al cambiamento.,Charles Darwin
Business,Qualità significa fare le cose bene quando nessuno ti sta guardando.,Henry Ford
Business,Il rischio più grande è non correre alcun rischio.,Mark Zuckerberg
Business,Un cliente soddisfatto è la migliore strategia di business.,Michael LeBoeuf
Business,Nell'immobiliare, la posizione è tutto. Nel business, la reputazione è tutto.,Antonio Giancani
Business,Non ho fallito. Ho solo trovato 10.000 modi che non funzionano.,Thomas Edison
Business,Il successo negli affari richiede addestramento, disciplina e duro lavoro.,David Rockefeller
Business,Chi smette di fare pubblicità per risparmiare soldi è come se fermasse l'orologio per risparmiare il tempo.,Henry Ford
Business,Il profitto è importante, ma la cassa è vitale.,Anonimo
Business,Lavora finché il tuo conto in banca non sembra un numero di telefono.,Anonimo
Business,Le grandi cose nel business non sono mai fatte da una sola persona.,Steve Jobs
Business,Il vero imprenditore è un esecutore, non un sognatore.,Antonio Giancani
Focus,Concentrati su dove vuoi andare, non su ciò che temi.,Tony Robbins
Focus,Ciò su cui ti concentri si espande.,T. Harv Eker
Focus,Il multitasking è una bugia. Fai una cosa, falla bene.,Anonimo
Focus,La tua attenzione è la tua risorsa più preziosa. Non sprecarla.,Antonio Giancani
Focus,L'energia fluisce dove va l'attenzione.,Tony Robbins
Focus,Sii così bravo che non potranno ignorarti.,Steve Martin
Focus,Non guardare l'orologio; fai ciò che fa. Vai avanti.,Sam Levenson
Focus,La chiarezza porta potere.,Tony Robbins
Focus,Un'ora di focus vale più di un giorno di distrazioni.,Cal Newport
Focus,Elimina il superfluo. Focalizzati sull'essenziale.,Leo Babauta
